recruiter_id,recruiter_password,recruiter_name,recruiter_contact,recruiter_email,recruiter_company
1,54ePN9CmAZjD8miE,Sahaj Malwan,7638454373,sahaj.malwan36@stride.ai.com,310
2,65eB7GhbeotvmNrF,Lakshya Masood,9617658910,lakshya.masood97@indian.com,160
3,5bHux1jCNRYU5nnQ,Shriya Jawed,9906977037,shriya.jawed45@pingahla.com,258
4,kQ4MfWCT1rSPLt8s,Raashi Pokhriyal,9731461672,raashi.pokhriyal70@sedemac.com,293
5,9k26klDtUeYztvkK,Akansha Mahapatra,9647450368,akansha.mahapatra53@orbees.com,250
6,uzYbI9NqSLTjpJF9,Madhu Raza,9202721274,madhu.raza90@flyfin.com,116
7,QaqSNIeTcfNiV1VR,Shreyas Kannaujia,9067454414,shreyas.kannaujia51@sandvine.com,289
8,UnjuAwnc7wtWdYwa,Bilal Aleem,9737973722,bilal.aleem76@aptiv.com,25
9,FLnW0rDY7Gnguily,Akhand Rungta,9144902148,akhand.rungta42@graviton.com,131
10,qcUJaaWxvlrySLxV,Aravind Tandon,8517843073,aravind.tandon11@oppo.com,247
11,BIXVxgePDTsjz170,Sejal Shenoy,7710449954,sejal.shenoy83@delightful.com,79
12,pyZFZTgjERU4WnmX,Deepro Saran,8655868608,deepro.saran50@honda.com,146
13,97gfW8XXFuTVwwBt,Diptanshu Dhaulakhandi,9444821224,diptanshu.dhaulakhandi11@barclays.com,45
14,DOQvF0WU3nwgCEeg,Nimesh Darshan,9535392621,nimesh.darshan23@exl.com,99
15,GtyNS7pL2UBQrWDO,Shubham Chopra,9753884442,shubham.chopra40@hind.com,142
16,w0GIUeq7L1S8eJdQ,Garv Shrivastava,9846849461,garv.shrivastava98@medibuddy.com,212
17,44CJzD9DgSZQLZS3,Shubhanshi Shinde,7662946467,shubhanshi.shinde6@mathworks.com,203
18,fKcWLGZILVjicqwN,Machhan Tandon,9417838853,machhan.tandon5@amd.com,20
19,D9JM4ti6UhtgubSN,Abhay Ojha,9686627970,abhay.ojha6@blume.com,48
20,Lr0KlizJCJsfSTI8,Jeevan Anupama,8668925443,jeevan.anupama32@numadic.com,239
21,UCg48zpdV9q1QMbH,Gnaneswar Mehrotra,7335918220,gnaneswar.mehrotra87@ubisoft.com,338
22,GurdaqLnoK6yv7RA,Meenal Suman,8629705690,meenal.suman37@decimal.com,78
23,rRza1EF0po8aG5n0,Devansh Kumar,9950850811,devansh.kumar72@eversana.com,97
24,5fYjCfGMH3Galdm8,Tamanna Bansal,7132568695,tamanna.bansal25@bajaj.com,43
25,jPD8GsWKudIN2b3N,Sangeeth Suman,7857726816,sangeeth.suman48@linkstaff.com,197
26,6jMj8ry3T6eCrwDk,Astitva Kannaujia,8794399175,astitva.kannaujia91@groww.com,133
27,MpMFYptFhPNvnfy2,Yachna Banothu,8098391269,yachna.banothu12@eightfold.ai.com,94
28,SDwAYhUaP5jLxaoZ,Palak Patel,9400536219,palak.patel29@oracle.com,249
29,ggLsxxRYcEQh0DeN,Manju Suchi,9024902896,manju.suchi71@quillbot.com,270
30,rpUb15T12ueZ5mmf,Gaush Tewary,9814507147,gaush.tewary70@oneshot.ai.com,246
31,SnXF8sXfr0FSejCY,Atishay Kanojia,9001549002,atishay.kanojia19@eduhap.com,93
32,DaCrGPggcfl1ycup,Himanshu Trivedi,8271807393,himanshu.trivedi15@agnikul.com,10
33,epNEYM9H7RNflhsV,Souvik Sarnobat,7457274937,souvik.sarnobat74@games24x7.com,123
34,D9iLK7B5bjrxtMdc,Atiq Alam,7439097520,atiq.alam82@arjunaa.com,26
35,NVUCF49Q2Fnd5bDD,Karan Jaitley,8417199865,karan.jaitley43@rambus.com,275
36,9F0KRXfaxOAcaL7d,Rashmi Jeykumaran,9290594958,rashmi.jeykumaran39@cohesity.com,70
