student_rno,student_password,student_name,student_gender,student_dob,student_email,student_contact,year_of_enrollment,student_current_year,student_cpi,student_incentive_points,department_id,program_id,allocated_jaf,allocation_timestamp
190000001,wlGCbxBSKcLDc0RO,Mallika Shukla,F,2001-09-03 00:00:00,mallika.shukla36@iitb.ac.in,8114723258,2019,4,6.67,6,6,4,NULL,NULL
190000002,5mmp57PWxANGhq0E,Akshat Sonwani,F,1999-01-12 00:00:00,akshat.sonwani88@iitb.ac.in,9400338216,2019,4,9.42,18,24,3,NULL,NULL
210000003,yqd87Hn0ofu5QwFy,Saravanan Rana,F,1995-08-27 00:00:00,saravanan.rana68@iitb.ac.in,9208996702,2021,2,8.05,14,9,10,NULL,NULL
190000004,PFkLPcmxBbsOOBqH,Ajeet Parul,M,2000-02-26 00:00:00,ajeet.parul48@iitb.ac.in,7518765171,2019,4,6.6,8,16,4,NULL,NULL
210000005,dajJWTiyVuzPfHZl,Mansoon Maurya,M,1994-11-03 00:00:00,mansoon.maurya67@iitb.ac.in,7658849219,2021,2,6.42,6,21,11,NULL,NULL
210000006,Dmg9Lto9OqV9lICo,Arnab Bapna,F,1997-09-18 00:00:00,arnab.bapna80@iitb.ac.in,8250111997,2021,2,9.23,18,20,5,NULL,NULL
190000007,X4q5tgxudDzGf0P5,Ashal Narayan,Other,1999-12-13 00:00:00,ashal.narayan57@iitb.ac.in,7173651871,2019,4,8.68,14,10,1,NULL,NULL
210000008,MxZhNW1n5Lu9gOmi,Sonika Kushalappa,M,1997-01-12 00:00:00,sonika.kushalappa11@iitb.ac.in,9424924174,2021,2,8.63,4,17,5,NULL,NULL
190000009,CRpxD5mL4cruVc6y,Rashmi Gutti,M,2000-02-05 00:00:00,rashmi.gutti16@iitb.ac.in,9756594434,2019,4,6.7,28,10,4,NULL,NULL
180000010,KAVtJR38djrwDqUF,Yash Yamala,F,2001-05-13 00:00:00,yash.yamala14@iitb.ac.in,9947393701,2018,5,8.59,12,5,2,NULL,NULL
210000011,Jv0sJenA8Zad7SbN,Vikas Sankary,F,1995-12-18 00:00:00,vikas.sankary29@iitb.ac.in,7872148812,2021,2,9.6,14,22,9,NULL,NULL
170000012,aPrs23Db5ZGchr4v,Manvendra Juneja,M,1994-12-19 00:00:00,manvendra.juneja14@iitb.ac.in,7714750521,2017,6,6.5,16,17,12,NULL,NULL
180000013,fyknNbocq4Lc3yeA,Yashaswini Jaitley,M,2000-05-29 00:00:00,yashaswini.jaitley47@iitb.ac.in,9080228693,2018,5,7.17,8,19,2,NULL,NULL
210000014,KZMqj2n9vn50gPW2,Vaishavi Desabathula,M,1994-03-20 00:00:00,vaishavi.desabathula89@iitb.ac.in,7585016620,2021,2,9.42,26,6,11,NULL,NULL
210000015,q7UHnQwecd5XLOKU,Joshika Adhya,M,1993-07-26 00:00:00,joshika.adhya42@iitb.ac.in,8916919033,2021,2,9.09,10,6,8,NULL,NULL
210000016,r5QVNB82WhG0KHnr,Rama Zope,M,1994-02-19 00:00:00,rama.zope40@iitb.ac.in,7568469542,2021,2,7.27,22,5,5,NULL,NULL
210000017,9BDmVGjH1gTAFyi5,Hemant Prabhu,F,1993-11-20 00:00:00,hemant.prabhu92@iitb.ac.in,7763582629,2021,2,9.21,30,18,8,NULL,NULL
200000018,dP9yRGm56OQqgxjK,Pratham Pant,M,1997-12-12 00:00:00,pratham.pant92@iitb.ac.in,9870056819,2020,3,9.31,4,24,7,NULL,NULL
170000019,5Kiu0fMMHHCkNmpB,Saksham Shoaib,F,1997-08-17 00:00:00,saksham.shoaib70@iitb.ac.in,7916313186,2017,6,6.38,30,14,12,NULL,NULL
210000020,nm60YCUoDIcQ7VVY,Asmita Warsi,M,1996-03-19 00:00:00,asmita.warsi93@iitb.ac.in,7999349833,2021,2,6.83,6,10,5,NULL,NULL
190000021,6fwDtNbSyWOF7D8O,Nahid Mourya,M,1999-03-28 00:00:00,nahid.mourya16@iitb.ac.in,9833678089,2019,4,6.31,18,12,3,NULL,NULL
210000022,qCsWUA7mFGGigrP1,Adil Bhalla,M,1993-11-30 00:00:00,adil.bhalla98@iitb.ac.in,7699427770,2021,2,7.12,24,3,6,NULL,NULL
170000023,VGrgiNPass6F3bot,Smita Alwadhi,M,1993-10-23 00:00:00,smita.alwadhi34@iitb.ac.in,7591779376,2017,6,7.75,14,15,12,NULL,NULL
210000024,o3KPoe7wABP4btSW,Sahil Durgavanshi,M,1996-11-25 00:00:00,sahil.durgavanshi43@iitb.ac.in,8523289168,2021,2,9.45,24,24,10,NULL,NULL
190000025,Fvmi4ZSsnIsefP9X,Anshu Pundir,F,2000-05-06 00:00:00,anshu.pundir34@iitb.ac.in,7666016765,2019,4,6.6,20,11,3,NULL,NULL
190000026,6NRGtVXfLQ5bcGif,Ramandeep Keshwani,F,2001-02-24 00:00:00,ramandeep.keshwani96@iitb.ac.in,8756821147,2019,4,6.99,12,19,1,NULL,NULL
180000027,IrZqci9QcxDFYW6i,Jimi Machhan,F,1999-06-18 00:00:00,jimi.machhan59@iitb.ac.in,9196381379,2018,5,7.58,6,6,2,NULL,NULL
180000028,iOLnCDy0UwNE18QN,Nupur Katiyar,M,1999-03-08 00:00:00,nupur.katiyar81@iitb.ac.in,8539642799,2018,5,7.97,6,8,2,NULL,NULL
190000029,vc3skXcxHlLy4KrF,Ateequa Nischal,M,1999-08-31 00:00:00,ateequa.nischal17@iitb.ac.in,8820840860,2019,4,9.42,16,9,4,NULL,NULL
210000030,j4HmYx3ezpSCeMq9,Reshami Alwadhi,F,1994-03-07 00:00:00,reshami.alwadhi77@iitb.ac.in,7363457569,2021,2,8.21,10,23,9,NULL,NULL
210000031,oMLd1HJMq67dguyI,Saanchi Chitranshi,M,1995-07-08 00:00:00,saanchi.chitranshi7@iitb.ac.in,9882677762,2021,2,7.05,26,14,9,NULL,NULL
180000032,wKEaC1tHWmfJtBUy,Sheshidhar Gadge,F,2000-09-26 00:00:00,sheshidhar.gadge16@iitb.ac.in,8259832572,2018,5,9.76,8,21,2,NULL,NULL
200000033,YeVGnIDqdfgIxNa7,Omhari Rana,F,1993-08-18 00:00:00,omhari.rana42@iitb.ac.in,7135235446,2020,3,9.98,26,24,7,NULL,NULL
170000034,ATRa1GSHCYa1wxcO,Akshit Shrivastava,M,1996-04-18 00:00:00,akshit.shrivastava31@iitb.ac.in,7092732979,2017,6,9.41,22,13,12,NULL,NULL
170000035,0N3IZ4KLnFLutudP,Tripti Jindal,M,1993-01-08 00:00:00,tripti.jindal71@iitb.ac.in,9553665383,2017,6,6.04,28,2,12,NULL,NULL
210000036,On2bN5BNzcAizF25,Soumya Sasidharan,F,1993-05-27 00:00:00,soumya.sasidharan9@iitb.ac.in,7365220449,2021,2,8.16,10,15,11,NULL,NULL
180000037,d5NWDgDrQ12EZwI7,Moosvi Mahajan,M,2000-03-03 00:00:00,moosvi.mahajan77@iitb.ac.in,9268171403,2018,5,7.6,6,21,2,NULL,NULL
