student_rno, student_password, student_name, student_gender, student_dob, student_email, student_contact, year_of_enrollment, student_current_year, student_cpi, student_incentive_points, department_id, program_id, allocated_jaf, allocated_time
210000001, 89xHC9809GKjyVLu, Shyamali Umar, M, 1994-03-07 00:00:00, shyamali.umar98@iitb.ac.in, 8183154641, 2021, 2, 6.06, 10, 3, 9, NULL, NULL
210000002, 2qyGtzJtFzAcix75, Kasturi Rao, M, 1993-09-05 00:00:00, kasturi.rao45@iitb.ac.in, 7035043239, 2021, 2, 8.23, 14, 18, 5, NULL, NULL
190000003, qd64mmObbZs9Da7M, Muskan Jha, M, 1999-12-23 00:00:00, muskan.jha27@iitb.ac.in, 8242370041, 2019, 4, 9.92, 28, 19, 3, NULL, NULL
200000004, FIRD7R3E3VMiprPk, Vignesh Mukherjee, F, 1996-10-15 00:00:00, vignesh.mukherjee33@iitb.ac.in, 7504190299, 2020, 3, 6.98, 18, 12, 7, NULL, NULL
200000005, FaR4h1Wv7rsyEzo2, Pragun Gurjar, F, 1993-05-30 00:00:00, pragun.gurjar54@iitb.ac.in, 7653976767, 2020, 3, 6.79, 24, 17, 7, NULL, NULL
210000006, bs7TRt92079nOllS, Aishwarya Devi, F, 1993-05-13 00:00:00, aishwarya.devi53@iitb.ac.in, 7934085534, 2021, 2, 7.56, 24, 12, 10, NULL, NULL
210000007, KGynsKpmZ334CfOQ, Prakash Gangwal, F, 1996-09-07 00:00:00, prakash.gangwal7@iitb.ac.in, 9708003315, 2021, 2, 8.17, 30, 6, 8, NULL, NULL
190000008, odJL4YdaPL61CwrV, Fariya Jajoo, M, 2001-01-23 00:00:00, fariya.jajoo61@iitb.ac.in, 7725846551, 2019, 4, 7.94, 4, 10, 4, NULL, NULL
190000009, azwbFHUFDL3lAGlI, Pradip Jagtap, F, 1999-08-13 00:00:00, pradip.jagtap44@iitb.ac.in, 8419904643, 2019, 4, 6.63, 10, 24, 1, NULL, NULL
190000010, lK7ozO76Oz89w0hK, Meenu Dadarwal, F, 1999-04-04 00:00:00, meenu.dadarwal59@iitb.ac.in, 8449769353, 2019, 4, 6.4, 26, 2, 1, NULL, NULL
190000011, flmuL36iaflOpsk2, Amol Sasanka, M, 2001-04-01 00:00:00, amol.sasanka34@iitb.ac.in, 8895965617, 2019, 4, 7.47, 4, 7, 4, NULL, NULL
170000012, qq7WKZPGaqNIjmb0, Husain Chavan, M, 1994-03-20 00:00:00, husain.chavan34@iitb.ac.in, 9793442337, 2017, 6, 6.47, 8, 4, 12, NULL, NULL
170000013, ldcFZtDDeS3JKrBC, Arman Nandanwar, M, 1997-02-10 00:00:00, arman.nandanwar88@iitb.ac.in, 9899553150, 2017, 6, 7.42, 24, 14, 12, NULL, NULL
210000014, xGIPm0IkzLSvPcsC, Nethaji Adhya, F, 1994-11-19 00:00:00, nethaji.adhya4@iitb.ac.in, 8299392348, 2021, 2, 6.98, 30, 4, 11, NULL, NULL
210000015, VaFoCmyFl9bMuwKQ, Nivedita Barai, F, 1995-04-12 00:00:00, nivedita.barai23@iitb.ac.in, 7193654020, 2021, 2, 8.44, 20, 17, 9, NULL, NULL
210000016, BPDh8fOtEZjQFpKk, Abdul Chaurasia, F, 1995-04-10 00:00:00, abdul.chaurasia69@iitb.ac.in, 8507172899, 2021, 2, 6.03, 26, 4, 9, NULL, NULL
210000017, ZvBx4PviNg4jFJcf, Tripti Swamy, M, 1993-08-29 00:00:00, tripti.swamy76@iitb.ac.in, 7539539258, 2021, 2, 7.56, 14, 11, 9, 584, 2021-04-04 08:08:01
