student_rno, student_password, student_name, student_gender, student_dob, student_email, student_contact, year_of_enrollment, student_current_year, student_cpi, student_incentive_points, department_id, program_id, allocated_jaf, allocated_time
210000001, SZOjkvNYPQDRoeFX, Kaif Arya, F, 1993-05-20 00:00:00, kaif.arya89@iitb.ac.in, 8548451929, 2021, 2, 9.79, 22, 17, 8, NULL, NULL
190000002, RXvI0RhHRkzrvlTw, Yogita Reddy, M, 1999-01-11 00:00:00, yogita.reddy76@iitb.ac.in, 9443415897, 2019, 4, 6.48, 12, 2, 4, NULL, NULL
170000003, 8NF3Nt8d2T5LpKJS, Aqsa Mandadi, F, 1996-06-15 00:00:00, aqsa.mandadi33@iitb.ac.in, 7092155994, 2017, 6, 6.55, 16, 10, 12, NULL, NULL
190000004, FerP7Ndf3P9fK02m, Madhusri Khanna, M, 2001-07-27 00:00:00, madhusri.khanna59@iitb.ac.in, 8052912333, 2019, 4, 9.78, 12, 11, 3, NULL, NULL
170000005, iznFEWDiogHvEFEC, Surjeet Chary, F, 1995-11-27 00:00:00, surjeet.chary38@iitb.ac.in, 9501111604, 2017, 6, 9.99, 24, 20, 12, NULL, NULL
180000006, FPpguJWl4kHAXpNz, Shaqib Rana, M, 2000-10-01 00:00:00, shaqib.rana89@iitb.ac.in, 9102725588, 2018, 5, 6.42, 24, 21, 2, NULL, NULL
210000007, 35STTKI83r9Y8VU4, Sonu Saraswat, F, 1993-05-27 00:00:00, sonu.saraswat60@iitb.ac.in, 9371904961, 2021, 2, 6.16, 12, 9, 9, NULL, NULL
210000008, LyLuR7Jt3qapGbwH, Kaif Mehendale, F, 1996-01-22 00:00:00, kaif.mehendale87@iitb.ac.in, 8340986436, 2021, 2, 6.82, 30, 1, 10, NULL, NULL
170000009, k19u6UyFOdGLn0eo, Diptanshu Macharla, M, 1995-07-01 00:00:00, diptanshu.macharla59@iitb.ac.in, 9266485837, 2017, 6, 8.61, 10, 14, 12, NULL, NULL
200000010, HMKOhf6z13Utq6p9, Ranjeeta Sura, M, 1993-12-30 00:00:00, ranjeeta.sura16@iitb.ac.in, 8811920144, 2020, 3, 9.87, 20, 23, 7, 667, 5841047
180000011, xIqG2Xnt1UdwY9n0, Shaqib Azmi, M, 2001-04-20 00:00:00, shaqib.azmi32@iitb.ac.in, 7134770634, 2018, 5, 6.36, 26, 22, 2, NULL, NULL
180000012, B9VluIIN0OcuWDea, Ramandeep Naqvi, F, 2001-03-13 00:00:00, ramandeep.naqvi30@iitb.ac.in, 7127145423, 2018, 5, 8.91, 30, 14, 2, 397, 2754759
180000013, muQxF2ZjECDGRzIH, Aditya Tiwari, M, 1999-11-06 00:00:00, aditya.tiwari34@iitb.ac.in, 7035405296, 2018, 5, 7.63, 10, 2, 2, 403, 7464257
210000014, TZVMWoNgHfhoyq0V, Annushka Shahid, M, 1994-06-03 00:00:00, annushka.shahid82@iitb.ac.in, 8847584469, 2021, 2, 8.47, 24, 10, 10, NULL, NULL
200000015, 9qLPqi0vwwMd6pq2, Sukirti Durgavansh, F, 1994-10-09 00:00:00, sukirti.durgavansh73@iitb.ac.in, 7076648962, 2020, 3, 7.57, 28, 6, 7, NULL, NULL
210000016, qsi7Rubk6j9FBldm, Akshit Baranwal, M, 1996-10-26 00:00:00, akshit.baranwal68@iitb.ac.in, 9555331601, 2021, 2, 9.86, 12, 24, 6, NULL, NULL
210000017, 194rUbCgxpVynEZw, Akshita Nadaf, M, 1997-04-18 00:00:00, akshita.nadaf69@iitb.ac.in, 8201466113, 2021, 2, 8.96, 8, 6, 10, NULL, NULL
170000018, RYZysvVrHPLH9W8F, Nikhil Navas, F, 1995-04-19 00:00:00, nikhil.navas58@iitb.ac.in, 9138347391, 2017, 6, 9.44, 2, 17, 12, NULL, NULL
210000019, 1QDF6veXO5NWyrAd, Jeyahar Aftab, F, 1997-10-10 00:00:00, jeyahar.aftab42@iitb.ac.in, 7483291577, 2021, 2, 7.02, 28, 18, 6, NULL, NULL
180000020, b27L3RZd14XHXMT0, Parth Nagoria, M, 2000-09-28 00:00:00, parth.nagoria11@iitb.ac.in, 9945630186, 2018, 5, 9.39, 16, 1, 2, NULL, NULL
170000021, qVsWMMymrLjtoqVR, Sanjana Kapoor, F, 1995-08-18 00:00:00, sanjana.kapoor93@iitb.ac.in, 8927264981, 2017, 6, 8.98, 4, 23, 12, NULL, NULL
